,tweet_created_at,tweet_full_text,text_clean
919,Fri Sep 07 04:08:44 +0000 2018,"Sacrifice getting Bloody🥊🥊#justdoit #whynot #gotBlood #cutman4hiresupples #stitchpremium #creed2
#boxing #mma #ufc #boxingday #kickboxing #fight #fitness #muaythai #boxinggym #training… https://t.co/RtuvM7PQZ6",sacrific get justdoit whynot gotblood cutman4hiresuppl stitchpremium creed2 box mma ufc boxingday kickbox fight fit muaythai boxinggym url
2304,Fri Sep 07 04:08:15 +0000 2018,#JustDoIt #BelieveInSomethingEvenIfItMeansYouLoseEverything #JustDoIt #BelieveInSomethingEvenIfItMeansYouLoseEverything #JustDoIt #BelieveInSomethingEvenIfItMeansYouLoseEverything #WeAreTheResistance #NFLBoycott until evry1 #Understands y we ALL shld #TakeAKnee wth @Kaepernick7,justdoit believeinsomethingevenifitmeansyouloseeveryth justdoit believeinsomethingevenifitmeansyouloseeveryth justdoit believeinsomethingevenifitmeansyouloseeveryth wearetheresist nflboycott until evry1 understand y we all shld takeakne wth user_ment
4452,Fri Sep 07 04:08:02 +0000 2018,Anyone make a Jessica Andrade #JustDoIt meme 🤣 fuck Reebok gear,anyon make a jessica andrad justdoit meme fuck reebok gear
3931,Fri Sep 07 04:07:50 +0000 2018,#JustDoIt proudly wearing Nike 🧦 https://t.co/hVoLA731sG,justdoit proudli wear nike url
1317,Fri Sep 07 04:07:39 +0000 2018,"@jemelehill @rolandsmartin @stephenasmith @JoyAnnReid @TheRevAl

Jacksonvile FL Bishop R McKissick ( @bishopmckjr) encourages members to wear @Nike to church services in support of 
Colin @Kaepernick7.

#JustDoIt 
#RolandMartinUnfiltered 
#AMJoy #reiders https://t.co/ZovVqQhx3p",user_ment user_ment user_ment user_ment user_ment jacksonvil fl bishop r mckissick user_ment encourag member to wear user_ment to church servic in support of colin user_ment justdoit rolandmartinunfilt amjoy reider url
2511,Fri Sep 07 04:07:32 +0000 2018,OMG This thread... #JustDoIt https://t.co/vGqn3Q8uYq,omg thi thread justdoit url
3489,Fri Sep 07 04:06:47 +0000 2018,"I just pissed myself! 😂😂😂😂😂 
#dickinabox
#JustDoIt 
#JT  #putyourjunkinthebox
#winneroftheinternet
#Nikemissedthisgem https://t.co/vg0b9ZGsz7",i just piss myself dickinabox justdoit jt putyourjunkinthebox winneroftheinternet nikemissedthisgem url
2051,Fri Sep 07 04:06:37 +0000 2018,Chris Collinsworth loves saying “RPO’s”... please stop man #JustDoIt,chri collinsworth love say pleas stop man justdoit
3264,Fri Sep 07 04:06:31 +0000 2018,It’s only crazy until you do it ... #justdoit https://t.co/HMGqENUB23,onli crazi until you do it justdoit url
1189,Fri Sep 07 04:06:23 +0000 2018,@realDonaldTrump @POTUS out here winning so much even @Kaepernick7 got himself a job #USA #JustDoIt #GetThatBoyHisMoneyDon,user_ment user_ment out here win so much even user_ment got himself a job usa justdoit getthatboyhismoneydon
1110,Fri Sep 07 04:06:21 +0000 2018,@CanBallReport @Nike @Kaepernick7 a candidate for the next add. #JustDoIt,user_ment user_ment user_ment a candid for the next add justdoit
3072,Fri Sep 07 04:05:49 +0000 2018,"I just can't with all these @Nike memes. There is a difference between  someone being true to their values, beliefs and experiences, and someone committing a criminal act. Whatever happened to respecting each other's differences. #JustDoIt #Namaste #SoapBox",i just cant with all these user_ment meme there is a differ between someon be true to their valu belief and experi and someon commit a crimin act whatev happen to respect each other differ justdoit namast soapbox
896,Fri Sep 07 04:05:48 +0000 2018,Believe in something even if it means sacrificing everything #Nike #JustDoIt,believ in someth even if it mean sacrif everyth nike justdoit
4923,Fri Sep 07 04:05:42 +0000 2018,"@Mikel_Jollett @realDonaldTrump @CoryBooker I stand by Cory Booker. And you know what else, I think I'll buy myself 3 new pairs of Nike shoes &amp; after that, run to my local bookstore &amp; grab Bob Woodward’s new book. #JustDoIt  #Kavanaugh",user_ment user_ment user_ment i stand by cori booker and you know what els i think ill buy myself new pair of nike shoe after that run to my local bookstor grab bob new book justdoit kavanaugh
2420,Fri Sep 07 04:05:20 +0000 2018,"EVERY minute is a second chance!   
#JustDoIt https://t.co/JQ7lUxZ4hY",everi minut is a second chanc justdoit url
370,Fri Sep 07 04:05:14 +0000 2018,"""Nike has just lost all my business, I'm burning everything!""

Nike:

#justdoit https://t.co/a3kdZuz7JA",nike ha just lost all my busi im burn everyth nike justdoit url
3692,Fri Sep 07 04:05:04 +0000 2018,My brand new @Nikecourt Air Zoom Vapor X @nike #JustDoIt https://t.co/ndIkaStPkm,my brand new user_ment air zoom vapor x user_ment justdoit url
1052,Fri Sep 07 04:04:54 +0000 2018,"If people say it’s tough to work on your company💻, don’t just stay there for a decade. Be on top of your game every single quarter, every single year, on &amp; off the court🏀. #ItsOnlyCrazyUntilYouDoIt #JustDoIt",if peopl say tough to work on your just stay there for a decad be on top of your game everi singl quarter everi singl year on off the itsonlycrazyuntilyoudoit justdoit
1771,Fri Sep 07 04:04:11 +0000 2018,None of y’all would care about Kaepernick if the conservative pundits never talked about him #justdoit,none of would care about kaepernick if the conserv pundit never talk about him justdoit
1660,Fri Sep 07 04:03:46 +0000 2018,"@marcorubio Senator, when is it time to roll out the #25thAmendment? Go ahead and tell others to do their duty, maybe you should do yours. His own handpicked staff is undermining him. Do something. All I can do is vote and volunteer. #GOTV. You can do more. So... #JustDoIt.",user_ment senat when is it time to roll out the go ahead and tell other to do their duti mayb you should do your hi own handpick staff is undermin him do someth all i can do is vote and volunt gotv you can do more so justdoit
656,Fri Sep 07 04:03:13 +0000 2018,@Kaepernick7 “Believe in something even if it means sacrificing everything.” 😅 #ImWithKap #NikeBoycott #JustDoIt https://t.co/7cEAoHPWVw,user_ment in someth even if it mean sacrif imwithkap nikeboycott justdoit url
3226,Fri Sep 07 04:03:09 +0000 2018,@DONJAZZY @4eyedmonk Marry na! U no fit #JustdoIt,user_ment user_ment marri na u no fit justdoit
